Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
__alignment_not_unique,14615863,10704452,15169646,13679448,16573261,15037394,15997721,13808621,11273203,11186106
__ambiguous,40561,31585,42039,40788,42831,42003,43174,39231,30873,34759
__no_feature,24440452,18587531,23510176,22505756,23746405,23870931,24008695,21912107,17973447,18454942
__not_aligned,0,0,0,0,0,0,0,0,0,0
__too_low_aQual,0,0,0,0,0,0,0,0,0,0
0610005C13Rik,5,10,0,0,0,0,0,0,0,0
0610007N19Rik,224,119,220,153,242,184,239,131,100,106
0610007P14Rik,1700,1241,1517,1594,1694,1637,1705,1790,1426,1304
0610008F07Rik,126,82,122,98,181,136,141,104,63,75
0610009B14Rik,11,2,5,8,5,1,2,0,0,1
0610009B22Rik,1565,1013,1625,1331,1644,1607,1890,1303,1052,1091
0610009D07Rik,697,370,467,444,425,305,345,307,183,176
0610009L18Rik,42,31,39,36,37,25,35,23,17,22
0610009O20Rik,94,55,36,56,38,30,15,30,9,15
0610010B08Rik,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,641,496,344,488,312,296,319,287,182,206
0610010K14Rik,783,544,908,753,895,881,979,743,661,635
0610011F06Rik,108,84,52,46,22,26,30,40,4,14
0610012G03Rik,1045,748,1354,889,1409,1284,1316,1016,756,933
0610012H03Rik,1,4,6,5,6,3,4,4,0,4
0610030E20Rik,254,162,174,193,107,105,115,114,88,74
0610031J06Rik,585,408,250,383,227,242,181,223,124,126
0610031O16Rik,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,545,380,447,368,466,439,467,359,239,278
0610038B21Rik,153,77,94,90,83,104,90,106,69,79
0610038L08Rik,85,92,108,93,94,125,109,99,86,92
0610039K10Rik,126,105,75,78,70,62,58,86,53,59
0610040B10Rik,28,11,40,16,19,41,33,21,19,20
0610040F04Rik,591,375,750,512,775,747,772,588,450,455
0610040J01Rik,446,363,727,547,706,592,688,573,481,505
0610043K17Rik,2,3,1,5,0,1,0,0,0,0
1100001G20Rik,8,4,13,3,13,13,10,6,3,7
1110001A16Rik,227,178,246,157,183,187,191,181,133,150
1110001J03Rik,336,186,344,275,368,301,345,213,165,186
1110002L01Rik,49,37,24,24,17,14,10,11,6,6
1110004E09Rik,1723,1146,1710,1537,2016,1819,2009,1646,1305,1403
1110004F10Rik,713,507,412,484,323,306,290,300,104,153
1110006O24Rik,38,31,38,44,41,46,35,32,30,31
1110007C09Rik,134,74,85,87,96,74,65,46,38,37
1110008F13Rik,2186,1528,2208,1682,2220,1908,2100,1661,1282,1349
1110008J03Rik,238,170,259,198,249,222,269,229,177,220
1110008L16Rik,688,517,779,716,788,765,834,667,556,565
1110008P14Rik,93,54,69,55,85,66,93,52,52,52
1110012L19Rik,1039,749,1328,966,1316,1282,1387,994,906,813
1110015O18Rik,0,1,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,0,0,0,0,0,0,0,0
1110018G07Rik,2016,1699,2103,2205,2001,2094,1954,1982,1892,1797
1110019D14Rik,118,97,107,78,96,79,118,73,87,75
1110020A21Rik,370,202,407,317,439,445,467,272,230,266
1110025L11Rik,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,5,0,1,0,5,0,3,1,3,1
1110028F18Rik,5,3,3,3,11,9,5,4,2,2
1110032A03Rik,108,110,103,102,85,89,112,78,70,55
1110032F04Rik,75,88,78,375,12,53,40,46,1,42
1110034G24Rik,69,43,66,42,56,55,50,32,20,22
1110035M17Rik,4,5,2,12,14,3,4,3,8,3
1110036E04Rik,0,0,1,0,0,0,0,0,0,0
1110037F02Rik,2797,2326,3277,3320,2930,3654,3243,2882,2745,2896
1110038B12Rik,29,34,7,6,5,9,6,9,1,1
1110038F14Rik,412,293,339,289,336,319,326,337,193,208
1110046J04Rik,31,21,11,12,18,7,2,1,0,2
1110051M20Rik,178,116,103,136,137,105,114,100,59,78
1110054M08Rik,66,50,67,62,74,73,54,45,43,31
1110057K04Rik,267,210,163,189,205,132,162,149,84,131
1110058L19Rik,856,663,939,777,1130,812,1031,783,740,615
1110059E24Rik,1162,768,1101,895,1140,1011,1147,947,675,786
1110059G10Rik,946,683,1016,944,1154,1171,1193,1081,853,863
1110059M19Rik,93,60,111,139,131,99,135,90,93,110
1110065P20Rik,215,191,217,154,253,162,174,144,116,108
1190002F15Rik,36,16,12,31,7,9,11,4,3,3
1190002N15Rik,9230,7924,7259,7120,6874,8008,7893,7894,6407,6735
1190003J15Rik,0,0,0,0,0,0,0,0,0,0
1190003K10Rik,4,4,8,10,6,3,8,7,10,10
1190005I06Rik,710,501,877,612,1014,939,953,718,610,580
1190007I07Rik,175,109,204,152,188,164,218,142,106,115
1200011I18Rik,635,475,611,597,535,638,610,607,513,515
1200014J11Rik,758,595,727,627,564,628,687,632,478,507
1300002E11Rik,565,399,626,489,646,616,697,532,368,394
1300002K09Rik,786,614,866,813,883,920,973,844,811,748
1300015D01Rik,2,0,0,0,0,0,0,0,0,0
1300017J02Rik,5,5,6,7,8,5,6,10,2,3
1300018J18Rik,352,285,206,230,156,127,160,185,112,126
1500002O10Rik,2,0,1,0,1,3,3,1,2,2
1500004A13Rik,21,18,17,16,18,10,22,11,19,18
1500009C09Rik,2,0,0,2,2,2,3,3,5,2
