Gene,M307_2ppm,M311_2ppm,M314_2ppm,M316_0ppm,M323_2ppm,M324_0ppm,M327_0ppm,M329_0ppm,M330_0ppm,M343_2ppm
__alignment_not_unique,30138836,22472840,32604102,29027683,28804706,21620529,18551239,16424014,22087069,19942258
__ambiguous,15979,8932,13825,9514,13028,5716,1605,3102,16923,5505
__no_feature,27007052,26189518,28824500,32381857,24471102,31704371,35276182,34546990,25162884,33986627
__not_aligned,0,0,0,0,0,0,0,0,0,0
__too_low_aQual,0,0,0,0,0,0,0,0,0,0
0610005C13Rik,3,5,4,9,2,6,9,0,1,8
0610007N19Rik,149,137,181,108,76,67,11,32,709,63
0610007P14Rik,579,192,342,258,525,169,17,92,974,209
0610008F07Rik,0,0,4,4,3,7,4,5,1,11
0610009B14Rik,4,0,2,7,3,2,4,3,16,4
0610009B22Rik,603,194,339,281,548,111,5,66,496,168
0610009D07Rik,934,329,561,377,698,205,22,101,561,230
0610009L18Rik,97,33,72,48,95,23,5,16,102,26
0610009O20Rik,123,64,95,57,114,44,5,25,212,42
0610010B08Rik,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,339,158,300,245,256,122,51,96,368,111
0610010K14Rik,211,124,151,102,192,59,10,29,213,63
0610011F06Rik,406,112,225,150,342,65,8,63,255,96
0610012G03Rik,364,156,196,170,345,100,10,59,318,82
0610012H03Rik,28,17,28,34,21,37,13,22,87,22
0610030E20Rik,291,98,116,106,152,62,21,49,118,70
0610031J06Rik,1707,762,1410,842,1627,522,28,268,2880,518
0610031O16Rik,0,2,2,2,1,6,12,7,1,5
0610037L13Rik,358,142,233,184,260,84,23,60,207,95
0610038B21Rik,31,8,18,15,11,7,1,7,2,8
0610038L08Rik,14,2,9,7,12,8,7,2,6,4
0610039K10Rik,565,272,413,296,370,168,12,90,465,148
0610040B10Rik,19,8,19,19,25,9,3,5,31,2
0610040F04Rik,48,28,49,24,23,29,28,20,383,23
0610040J01Rik,7,9,4,13,8,14,2,5,8,6
0610043K17Rik,5,1,1,7,2,2,5,1,2,5
1100001G20Rik,2,0,0,3,0,6,5,2,0,3
1110001A16Rik,341,149,252,179,279,82,13,46,284,97
1110001J03Rik,323,120,213,142,294,66,7,39,215,72
1110002L01Rik,52,44,54,60,67,42,26,48,85,55
1110004E09Rik,195,110,179,97,229,69,9,40,184,80
1110004F10Rik,1050,450,834,579,880,289,36,146,825,304
1110006O24Rik,47,21,33,27,39,15,2,8,19,17
1110007C09Rik,269,134,214,186,304,93,13,46,134,109
1110008F13Rik,358,187,255,186,329,86,8,65,750,118
1110008J03Rik,52,26,37,23,56,26,3,17,69,20
1110008L16Rik,172,45,81,59,124,48,30,37,156,53
1110008P14Rik,342,124,217,158,316,53,2,35,640,97
1110012L19Rik,142,83,128,62,119,26,5,10,98,39
1110015O18Rik,0,12,1,6,5,12,17,15,3,22
1110017D15Rik,62,31,121,67,148,71,22,20,35,46
1110018G07Rik,1153,290,639,535,940,305,55,207,585,292
1110019D14Rik,76,58,58,33,56,36,51,47,51,46
1110020A21Rik,34,19,24,26,22,27,10,17,19,15
1110025L11Rik,0,0,1,1,0,1,2,2,0,4
1110028F11Rik,4,11,6,12,15,8,16,16,1,15
1110028F18Rik,14,11,8,31,1,23,29,32,3,21
1110032A03Rik,942,309,575,454,717,192,17,88,350,237
1110032F04Rik,4,7,2,3,6,5,11,9,55,7
1110034G24Rik,28,17,48,20,52,28,17,15,39,16
1110035M17Rik,1,5,0,0,1,0,0,5,3,4
1110036E04Rik,2,4,5,6,4,5,6,7,0,9
1110037F02Rik,616,187,349,277,391,193,95,142,445,200
1110038B12Rik,14,23,28,25,26,16,3,14,22,23
1110038F14Rik,208,67,110,94,125,49,11,28,140,51
1110046J04Rik,4,3,11,1,3,9,4,4,0,4
1110051M20Rik,210,86,123,121,134,50,24,43,204,61
1110054M08Rik,104,32,73,36,61,36,2,11,52,28
1110057K04Rik,459,196,283,210,307,92,26,81,407,124
1110058L19Rik,439,219,263,182,386,102,7,46,314,134
1110059E24Rik,369,186,328,223,277,125,32,67,178,120
1110059G10Rik,197,94,127,108,160,68,53,52,111,68
1110059M19Rik,0,3,0,1,0,2,1,2,1,1
1110065P20Rik,265,108,214,155,259,94,9,46,474,102
1190002F15Rik,10,13,7,10,9,8,8,7,11,13
1190002N15Rik,77,61,94,61,32,43,34,26,45,40
1190003J15Rik,3,1,7,3,9,6,1,1,0,2
1190003K10Rik,2,9,9,11,2,16,19,14,1,13
1190005I06Rik,1,8,4,4,2,6,3,2,2,1
1190007I07Rik,114,41,54,31,80,26,2,12,61,17
1200011I18Rik,536,223,405,263,289,206,93,111,285,183
1200014J11Rik,245,163,183,138,195,120,79,79,182,109
1300002E11Rik,652,132,317,260,466,171,26,93,134,172
1300002K09Rik,19,16,11,20,8,27,21,30,7,28
